                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.5514,                 0.3869,                 1.5446,                0.85813,                0.74369,                0.82134,                0.47967,                 1.4177,                0.23846,                  1.487,               0.001387,               0.001387,               0.001387
                     89,                  1.552,                0.39323,                 1.5518,                0.86336,                0.74115,                0.82188,                0.48057,                 1.4154,                0.23821,                 1.4843,               0.001288,               0.001288,               0.001288
                     90,                 1.5472,                0.39319,                 1.5454,                0.86203,                0.74242,                0.82233,                0.48197,                  1.414,                0.23801,                 1.4833,               0.001189,               0.001189,               0.001189
                     91,                 1.3747,                0.28208,                 1.4227,                0.87152,                0.73671,                0.82271,                0.48197,                 1.4127,                0.23678,                 1.4832,                0.00109,                0.00109,                0.00109
                     92,                 1.3554,                0.27785,                   1.41,                0.87218,                0.73764,                0.82282,                0.48198,                 1.4131,                 0.2368,                  1.484,               0.000991,               0.000991,               0.000991
                     93,                 1.3524,                0.27353,                 1.4046,                0.87341,                0.73753,                0.82356,                0.48209,                 1.4124,                0.23644,                 1.4839,               0.000892,               0.000892,               0.000892
                     94,                 1.3407,                0.27039,                 1.3946,                0.86607,                0.74178,                0.82273,                0.48159,                 1.4136,                0.23697,                 1.4849,               0.000793,               0.000793,               0.000793
                     95,                 1.3308,                0.26924,                 1.3959,                0.87118,                 0.7384,                0.82186,                0.48173,                 1.4145,                0.23632,                 1.4862,               0.000694,               0.000694,               0.000694
                     96,                 1.3391,                0.26801,                 1.3955,                0.87108,                0.73961,                0.82301,                0.48176,                 1.4158,                 0.2359,                 1.4872,               0.000595,               0.000595,               0.000595
                     97,                 1.3298,                0.26796,                   1.39,                0.87287,                0.73807,                0.82215,                0.48148,                 1.4164,                0.23589,                 1.4885,               0.000496,               0.000496,               0.000496
                     98,                 1.3187,                 0.2662,                 1.3881,                0.87139,                 0.7397,                0.82137,                0.48065,                 1.4177,                 0.2356,                 1.4901,               0.000397,               0.000397,               0.000397
                     99,                 1.3212,                0.26636,                  1.387,                0.87373,                0.73635,                0.82082,                0.47994,                 1.4193,                0.23567,                 1.4921,               0.000298,               0.000298,               0.000298
                    100,                  1.327,                0.26538,                 1.3863,                0.87183,                0.73596,                0.82011,                0.48019,                 1.4187,                0.23514,                 1.4929,               0.000199,               0.000199,               0.000199
